model,target_end_date,target_variable,scale,rel_wis
EuroCOVIDhub-baseline,2021-03-13,inc death,log,1.7067398251543926
EuroCOVIDhub-ensemble,2021-03-13,inc death,log,1
FIAS_FZJ-Epi1Ger,2021-03-13,inc death,log,2.6671869746109222
ICM-agentModel,2021-03-13,inc death,log,2.8597409480545863
IEM_Health-CovidProject,2021-03-13,inc death,log,2.3669919914865867
ILM-EKF,2021-03-13,inc death,log,1.239689251908103
ITWW-county_repro,2021-03-13,inc death,log,2.066184932969723
Karlen-pypm,2021-03-13,inc death,log,0.9551585116101873
LANL-GrowthRate,2021-03-13,inc death,log,0.8027789374977673
MIMUW-StochSEIR,2021-03-13,inc death,log,1.1185794455791562
MIT_CovidAnalytics-DELPHI,2021-03-13,inc death,log,1.7978713751328463
MOCOS-agent1,2021-03-13,inc death,log,1.481427633922642
MUNI_DMS-SEIAR,2021-03-13,inc death,log,2.6492326777512627
RobertWalraven-ESG,2021-03-13,inc death,log,1.7410376893041344
USC-SIkJalpha,2021-03-13,inc death,log,1.269006295216777
epiforecasts-EpiExpert,2021-03-13,inc death,log,1.2787848117428293
epiforecasts-EpiNow2,2021-03-13,inc death,log,1.1542656763582728
itwm-dSEIR,2021-03-13,inc death,log,0.6309426785583703
EuroCOVIDhub-baseline,2021-03-13,inc death,natural,2.0937973781750427
EuroCOVIDhub-ensemble,2021-03-13,inc death,natural,1
FIAS_FZJ-Epi1Ger,2021-03-13,inc death,natural,3.0064009526563304
ICM-agentModel,2021-03-13,inc death,natural,2.4399615111895576
IEM_Health-CovidProject,2021-03-13,inc death,natural,2.2441059608981004
ILM-EKF,2021-03-13,inc death,natural,1.0608564125859359
ITWW-county_repro,2021-03-13,inc death,natural,2.073718003938778
Karlen-pypm,2021-03-13,inc death,natural,1.0146890381280305
LANL-GrowthRate,2021-03-13,inc death,natural,0.6685941623024494
MIMUW-StochSEIR,2021-03-13,inc death,natural,1.2063238085452284
MIT_CovidAnalytics-DELPHI,2021-03-13,inc death,natural,1.860785898874507
MOCOS-agent1,2021-03-13,inc death,natural,1.5508210054254508
MUNI_DMS-SEIAR,2021-03-13,inc death,natural,2.9698701935813228
RobertWalraven-ESG,2021-03-13,inc death,natural,1.780764449733211
USC-SIkJalpha,2021-03-13,inc death,natural,1.391807892258654
epiforecasts-EpiExpert,2021-03-13,inc death,natural,1.4128410998943328
epiforecasts-EpiNow2,2021-03-13,inc death,natural,1.3469261300299666
itwm-dSEIR,2021-03-13,inc death,natural,0.6469389057907857
EuroCOVIDhub-baseline,2021-05-22,inc death,log,2.0861792295504507
EuroCOVIDhub-ensemble,2021-05-22,inc death,log,1
FIAS_FZJ-Epi1Ger,2021-05-22,inc death,log,2.792540530118491
HZI-AgeExtendedSEIR,2021-05-22,inc death,log,0.7304001006736552
ICM-agentModel,2021-05-22,inc death,log,3.184951444269378
IEM_Health-CovidProject,2021-05-22,inc death,log,1.8915743516965564
ILM-EKF,2021-05-22,inc death,log,1.2475428831334239
ITWW-county_repro,2021-05-22,inc death,log,1.5048749904419778
Imperial-DeCa,2021-05-22,inc death,log,1.9141626317784344
Imperial-RtI0,2021-05-22,inc death,log,1.9346042102810628
Imperial-sbkp,2021-05-22,inc death,log,2.027810988929839
Karlen-pypm,2021-05-22,inc death,log,2.0529390832223813
LANL-GrowthRate,2021-05-22,inc death,log,1.158671470519614
MIMUW-StochSEIR,2021-05-22,inc death,log,0.7896834355911355
MIT_CovidAnalytics-DELPHI,2021-05-22,inc death,log,1.215412997964711
MOCOS-agent1,2021-05-22,inc death,log,0.6119054680905711
MUNI-ARIMA,2021-05-22,inc death,log,1.724912866989414
